subject_id,n_cycles,duration,network_n_nodes,network_n_edges,network_density,network_is_connected,network_diameter,network_average_path_length,network_global_efficiency,network_largest_component_size,network_avg_clustering,network_transitivity,network_assortativity,network_small_worldness,network_modularity
S01,278,305.5005,10,11,0.24444444444444444,False,6,2.6666666666666665,0.5398148148148149,9.0,0.4333333333333333,0.5,-0.12820512820513,0.0,0.434326171282041
S10,203,250.4405,10,11,0.24444444444444444,True,7,3.088888888888889,0.48412698412698424,,0.36666666666666664,0.375,-0.035294117647058476,0.0,0.45075055063597463
S11,246,259.4105,10,11,0.24444444444444444,False,2,1.4,0.8,5.0,0.5333333333333333,0.5294117647058824,-0.3750000000000002,0.0,0.4876930594752981
S12,101,308.7305,10,11,0.24444444444444444,True,5,2.422222222222222,0.5266666666666671,,0.4333333333333333,0.3333333333333333,-0.03623188405797082,0.0,0.5830055662776861
S13,200,245.2005,10,11,0.24444444444444444,False,3,1.9285714285714286,0.630952380952381,8.0,0.38333333333333336,0.3333333333333333,0.16190476190476236,0.0,0.5109291201519895
S14,173,312.6605,10,11,0.24444444444444444,False,5,2.4285714285714284,0.5809523809523808,8.0,0.35,0.6666666666666666,0.5809523809523802,0.0,0.5115221799098346
S15,178,186.3405,10,11,0.24444444444444444,False,2,1.4,0.8,6.0,0.3333333333333333,0.45,0.34523809523809645,0.0,0.3749746518023688
S16,204,256.1105,10,11,0.24444444444444444,False,4,1.9642857142857142,0.6309523809523808,8.0,0.26666666666666666,0.35294117647058826,0.3015873015873016,0.0,0.42802158307704774
S17,2,310.6205,10,11,0.24444444444444444,True,6,2.6444444444444444,0.5103703703703707,,0.38333333333333336,0.35294117647058826,-0.031249999999999754,0.0,0.3977345168199414
S18,48,141.2805,10,11,0.24444444444444444,False,6,2.388888888888889,0.5666666666666668,9.0,0.16666666666666666,0.3,0.08333333333333408,0.0,0.36536137549732195
S19,189,185.8305,10,11,0.24444444444444444,True,6,2.7555555555555555,0.5055555555555556,,0.1,0.17647058823529413,-0.3968253968253999,0.0,0.3697027421855906
S2,244,317.3505,10,11,0.24444444444444444,True,5,2.488888888888889,0.523703703703704,,0.26666666666666666,0.3,-0.39333333333333315,0.0,0.35852915118483575
S20,114,312.1505,10,11,0.24444444444444444,False,3,1.6666666666666667,0.7333333333333332,6.0,0.35,0.6666666666666666,0.47619047619047516,0.0,0.5473206775366487
S21,275,302.0705,10,11,0.24444444444444444,True,6,2.8222222222222224,0.4992592592592593,,0.38333333333333336,0.35294117647058826,-0.48958333333333287,0.0,0.5096883947809799
S22,47,121.3105,10,11,0.24444444444444444,False,1,1.0,1.0,4.0,0.7333333333333333,0.9,-0.22222222222221427,0.0,0.48073384155021553
S23,214,245.8505,10,11,0.24444444444444444,False,3,1.6,0.7444444444444444,6.0,0.6333333333333333,0.6,-0.03418803418803384,0.0,0.4784212738457094
S24,209,254.4005,10,11,0.24444444444444444,False,4,2.111111111111111,0.590277777777778,9.0,0.31666666666666665,0.3157894736842105,-0.11392405063291104,0.0,0.3753343705215109
S25,195,186.4105,10,11,0.24444444444444444,False,2,1.3,0.85,5.0,0.6333333333333333,0.6,-0.4102564102564102,0.0,0.45972738180277295
S26,149,255.5305,10,11,0.24444444444444444,True,5,2.6444444444444444,0.5059259259259261,,0.26666666666666666,0.35294117647058826,-0.0476190476190468,0.0,0.5208627792929473
S27,151,245.5205,10,11,0.24444444444444444,True,6,2.488888888888889,0.5274074074074075,,0.15,0.17647058823529413,-0.031249999999999754,0.0,0.531750584538855
S28,200,245.2005,10,11,0.24444444444444444,False,3,1.9285714285714286,0.630952380952381,8.0,0.38333333333333336,0.3333333333333333,0.16190476190476236,0.0,0.5109291201519895
S29,268,312.9605,10,11,0.24444444444444444,False,6,2.8055555555555554,0.5291666666666667,9.0,0.35,0.631578947368421,0.44303797468354394,0.0,0.40666906610950704
S3,167,283.3805,10,11,0.24444444444444444,False,3,1.619047619047619,0.7222222222222221,7.0,0.4066666666666666,0.5,-0.06944444444444454,0.0,0.33713772035768763
S30,214,245.5305,10,11,0.24444444444444444,False,2,1.1,0.95,5.0,0.45,0.875,0.7800000000000006,0.0,0.3401227141933099
S31,191,188.8105,10,11,0.24444444444444444,False,5,2.2222222222222223,0.5796296296296297,9.0,0.4333333333333333,0.42857142857142855,-0.28333333333333294,0.0,0.40508086676959176
S4,275,268.3405,10,11,0.24444444444444444,False,5,2.388888888888889,0.565277777777778,9.0,0.3,0.3157894736842105,0.025316455696202795,0.0,0.3756133624075721
S5,196,319.6605,10,11,0.24444444444444444,False,5,2.2142857142857144,0.6142857142857141,8.0,0.5333333333333333,0.6,-0.22222222222221427,0.0,0.39568507809900355
S6,163,310.0205,10,11,0.24444444444444444,False,5,2.238095238095238,0.6087301587301587,7.0,0.5666666666666667,0.6,0.4358974358974363,0.0,0.5533195906050205
S7,278,309.4305,10,11,0.24444444444444444,True,6,2.7777777777777777,0.5018518518518519,,0.16666666666666666,0.3333333333333333,0.1619047619047616,0.0,0.43743824235711815
S8,232,253.8305,10,11,0.24444444444444444,False,5,2.5277777777777777,0.5467592592592592,9.0,0.35,0.6,0.08333333333333408,0.0,0.4154359694735125
S9,39,255.2905,10,11,0.24444444444444444,False,5,2.142857142857143,0.6113095238095237,8.0,0.26666666666666666,0.35294117647058826,0.6507936507936519,0.0,0.43120160768026367
